Date,Description,Amount,Category,Account,Type
2024-01-01,Starting Balance,50000.00,Transfer,Checking,Credit
2024-01-05,Salary,4000.00,Income,Checking,Credit
2024-01-15,Rent,-1500.00,Housing,Checking,Debit
2024-01-20,Groceries,-300.00,Food,Checking,Debit
2024-01-25,Utilities,-150.00,Bills,Checking,Debit
2024-02-05,Salary,4000.00,Income,Checking,Credit
2024-02-15,Rent,-1500.00,Housing,Checking,Debit
2024-02-20,Groceries,-320.00,Food,Checking,Debit
2024-02-25,Utilities,-160.00,Bills,Checking,Debit
2024-03-05,Salary,4000.00,Income,Checking,Credit
2024-03-15,Rent,-1500.00,Housing,Checking,Debit
2024-03-20,Groceries,-280.00,Food,Checking,Debit
2024-03-25,Utilities,-140.00,Bills,Checking,Debit
2024-04-05,Salary,4000.00,Income,Checking,Credit
2024-04-15,Rent,-1500.00,Housing,Checking,Debit
2024-04-20,Groceries,-350.00,Food,Checking,Debit
2024-04-25,Utilities,-170.00,Bills,Checking,Debit
2024-05-05,Salary,4000.00,Income,Checking,Credit
2024-05-15,Rent,-1500.00,Housing,Checking,Debit
2024-05-20,Groceries,-290.00,Food,Checking,Debit
2024-05-25,Utilities,-155.00,Bills,Checking,Debit
2024-06-05,Salary,4000.00,Income,Checking,Credit
2024-06-15,Rent,-1500.00,Housing,Checking,Debit
2024-06-20,Groceries,-310.00,Food,Checking,Debit
2024-06-25,Utilities,-165.00,Bills,Checking,Debit
